[2026-09-12T18:37:56.205Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:56.205Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (1ms, ?B)
[2026-09-12T18:37:56.206Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:57.315Z] GET http://localhost:5173/mobile/ → 200 (?ms, ?B)
[2026-09-12T18:37:57.319Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (?ms, ?B)
[2026-09-12T18:37:57.319Z] GET http://localhost:5173/styles.css → 200 (1ms, ?B)
[2026-09-12T18:37:57.320Z] GET http://localhost:5173/assets/cv.jpeg → 200 (?ms, ?B)
[2026-09-12T18:37:57.320Z] GET http://localhost:5173/app.js → 200 (?ms, ?B)
[2026-09-12T18:37:57.347Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, 307492B)
[2026-09-12T18:37:57.347Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T18:37:57.347Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T18:37:57.347Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (1ms, ?B)
[2026-09-12T18:37:57.348Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:57.348Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:57.348Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (1ms, ?B)
[2026-09-12T18:37:57.349Z] GET http://localhost:5173/assets/foodier.jpg → 200 (?ms, 853566B)
[2026-09-12T18:37:57.349Z] GET http://localhost:5173/assets/cfl.jpg → 200 (?ms, 944312B)
[2026-09-12T18:37:57.349Z] GET http://localhost:5173/assets/teleport.jpg → 200 (?ms, 965906B)
[2026-09-12T18:37:58.447Z] GET http://localhost:5173/genfit/ → 200 (1ms, 45966B)
[2026-09-12T18:37:58.454Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (?ms, 16182B)
[2026-09-12T18:37:58.454Z] GET http://localhost:5173/styles.css → 200 (1ms, 4566B)
[2026-09-12T18:37:58.455Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T18:37:58.470Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (1ms, 307492B)
[2026-09-12T18:37:58.471Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T18:37:58.471Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T18:37:58.471Z] GET http://localhost:5173/assets/screens/genfit-weekly.png → 200 (?ms, 325625B)
